일자,기온(°C),기온(°F),습도(%),열지수
19810922,23.4,74.1,70.6,23.41
19810923,23.5,74.4,67.9,23.53
19810924,19.3,66.8,83.4,19.33
19810925,20.9,69.6,64.9,20.89
19810926,20.8,69.4,68.3,20.8
19810927,19.9,67.8,84.8,19.9
19810928,17.3,63.1,67.3,17.26
19810929,16.9,62.5,68.1,16.95
19810930,18.1,64.6,77.5,18.14
19820501,14.9,58.8,39.4,14.9
19820502,16.2,61.1,38.8,16.17
19820503,14.9,58.7,63.1,14.86
19820504,12.8,55.1,57,12.84
19820505,16.6,62,71.8,16.64
19820506,13,55.4,81.6,13
19820507,16,60.9,60.6,16.03
19820508,16.9,62.5,58.8,16.92
19820509,17,62.7,92,17.03
19820510,21.3,70.4,77.8,21.33
19820511,20.3,68.5,78.8,20.25
19820512,23.5,74.3,73.4,23.47
19820513,14.7,58.4,88.9,14.66
19820514,15.8,60.5,57,15.83
19820515,16.3,61.3,63.9,16.3
19820516,17.5,63.5,49.5,17.51
19820517,17.7,63.9,47.4,17.71
19820518,19.5,67.2,72.3,19.55
19820519,15.6,60.1,83.4,15.63
19820520,14.7,58.4,68.9,14.69
19820521,16.8,62.2,69.6,16.79
19820522,20,68,55.6,19.99
19820523,19.1,66.3,62,19.07
19820524,20.2,68.4,68.1,20.22
19820525,21.2,70.2,74.1,21.24
19820526,19.8,67.7,78.3,19.84
19820527,21.9,71.5,76.1,21.93
19820528,21.1,69.9,86.1,21.08
19820529,24,75.1,74.9,23.96
19820530,24.7,76.4,68.9,24.68
19820531,16.3,61.3,79.9,16.27
19820601,14.4,57.9,85.5,14.41
19820602,15.8,60.5,79,15.83
19820603,18.3,65,74.8,18.32
19820604,20.4,68.7,70.5,20.4
19820605,23.8,74.8,66.5,23.77
19820606,22.7,72.9,62,22.75
19820607,21,69.8,63.8,21.03
19820608,22.6,72.6,63.4,22.58
19820609,23.5,74.3,56,23.48
19820610,22.3,72.2,70.1,22.35
19820611,23,73.3,65.1,22.97
19820612,23,73.4,61.8,23
19820613,20.4,68.6,71.5,20.35
19820614,21.9,71.5,59.3,21.93
19820615,21.5,70.7,66.6,21.47
19820616,21.9,71.4,60.8,21.86
19820617,23.1,73.6,57.1,23.1
19820618,23.3,73.9,56.9,23.26
19820619,21.2,70.2,72.8,21.2
19820620,23.1,73.5,73.1,23.08
19820621,24.7,76.5,70.9,24.7
19820622,23.7,74.6,75.5,23.65
19820623,24.5,76.1,66.8,24.52
19820624,22.1,71.7,74.6,22.07
19820625,22.6,72.8,61.9,22.65
19820626,22.4,72.4,56.1,22.42
19820627,21.9,71.4,59.5,21.9
19820628,22.9,73.3,68.1,22.92
19820629,25,77,67.3,25.01
19820630,23.7,74.7,67.8,23.74
19820701,24.1,75.4,65.9,24.11
19820702,24.4,75.9,68.8,24.41
19820703,25.3,77.6,65,25.33
19820704,25.2,77.3,64,25.17
19820705,25.6,78.1,64.9,25.64
19820706,26.8,80.2,62.6,28
19820707,26.4,79.5,64.9,26.37
19820708,26.4,79.6,60,26.45
19820709,27.3,81.2,61.1,28.59
19820710,27.4,81.3,70.8,29.62
19820711,24.9,76.8,88.9,24.89
19820712,24.9,76.8,77.5,24.87
19820713,24.6,76.2,76,24.55
