"관리기관별(1)","시점",원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),원인 (건),산불피해,산불피해,산불피해,산불피해,인명피해 (명),인명피해 (명),인명피해 (명)
"관리기관별(1)","시점",합계,입산자실화,규반소각,논밭두렁소각,쓰레기소각,담배불실화,성묘객실화,어린이불장난,건축물화재,기타,건수 (건),면적 (ha),재적 (㎥),피해액 (천원),합계,사망,부상
"울산광역시","2017",11,7,-,-,-,-,-,-,1,3,11,19.00,2142,902381,-,-,-
"울산광역시","2018",11,3,-,1,1,1,-,-,2,3,11,4.87,87,219420,-,-,-
"울산광역시","2019",13,10,-,1,-,1,-,-,-,1,13,1.73,169,70924,-,-,-
"울산광역시","2020",18,10,-,1,4,-,-,-,1,2,18,531.33,49153,28700824,3,2,1
"울산광역시","2021",10,6,-,1,-,-,1,-,-,2,10,2.45,284,176977,-,-,-
"울산광역시","2022",30,17,-,2,1,2,-,-,3,5,30,20.13,2637,1500205,-,-,-
"세종자치시","2012",2,-,-,-,-,-,-,-,-,2,2,1.70,46,47320,-,-,-
"세종자치시","2013",4,-,-,2,2,-,-,-,-,-,4,2.85,356,94261,-,-,-
"세종자치시","2014",4,1,-,1,1,-,-,-,1,0,4,5.05,78,151848,-,-,-
"세종자치시","2015",1,-,-,-,-,-,-,-,-,1,1,0.01,-,3775,-,-,-
"세종자치시","2016",1,-,-,-,-,-,-,-,-,1,1,0.20,-,7062,-,-,-
"세종자치시","2017",2,-,-,-,1,-,-,-,-,1,2,0.08,-,3437,-,-,-
"세종자치시","2018",6,-,-,-,-,1,1,-,-,4,6,1.09,-,51782,-,-,-
"세종자치시","2019",7,-,-,2,2,-,-,-,-,3,7,0.89,12,30604,-,-,-
"세종자치시","2020",4,3,-,-,-,-,-,-,1,-,4,0.49,-,23468,-,-,-
"세종자치시","2022",7,1,-,1,-,2,1,-,-,2,7,0.67,-,23572,-,-,-
"경기도","1995",74,39,-,11,-,-,3,2,-,19,74,70.68,237,44451,1,1,-
"경기도","1996",50,25,0,1,-,-,10,4,-,10,50,140.03,192,38407,10,9,1
"경기도","1997",48,22,0,10,6,2,6,-,-,2,48,95.17,837,34925,5,5,-
"경기도","1998",28,7,-,5,3,2,2,2,-,7,28,42.53,103,155451,5,5,-
"경기도","1999",23,13,-,3,1,1,3,-,-,2,23,33.26,29,75430,1,1,-
"경기도","2000",56,19,-,8,10,3,8,1,-,7,56,222.40,3353,485816,2,2,-
"경기도","2001",57,30,-,8,7,2,5,2,-,3,57,50.33,6361,110220,2,1,1
"경기도","2002",48,18,-,5,8,2,8,-,-,7,48,36.60,4051,93323,1,1,-
"경기도","2003",28,5,-,10,2,1,7,-,-,3,28,14.72,32,18893,1,1,-
"경기도","2004",39,21,-,2,6,2,1,-,-,7,39,19.45,724,39154,-,-,-
"경기도","2005",33,17,-,2,7,3,1,-,-,3,-,11.77,323,61156,-,-,-
"경기도","2006",23,13,-,3,3,-,1,-,-,3,-,6.46,106,5592,1,1,-
"경기도","2007",16,13,0,1,1,-,-,-,-,1,16,2.97,37,1435,1,1,-
"경기도","2008",19,11,0,2,1,2,-,1,-,2,19,4.70,-,-,-,-,-
"경기도","2009",20,11,0,3,-,-,3,-,-,3,20,8.19,7,750,0,0,0
"경기도","2010",6,5,-,-,-,-,1,-,-,-,6,0.53,-,27879,-,-,-
"경기도","2011",7,4,-,1,-,1,-,-,-,1,7,0.61,-,25686,-,-,-
"경기도","2012",9,5,-,1,2,-,-,-,-,1,9,0.74,-,57920,-,-,-
"경기도","2013",5,1,-,2,-,1,-,-,-,1,5,2.00,252,76046,-,-,-
"경기도","2014",42,33,-,1,5,1,-,-,-,2,42,3.94,-,627114,-,-,-
"경기도","2015",143,30,-,24,32,4,5,-,3,45,143,85.18,4939,4479665,1,1,-
"경기도","2016",111,31,-,28,31,-,7,1,2,11,111,43.33,-,1977119,1,1,-
"경기도","2017",147,35,-,30,40,8,4,-,4,26,147,44.42,161,2210496,-,-,-
"경기도","2018",67,19,-,9,14,-,2,-,5,18,67,15.57,428,758854,1,-,1
"경기도","2019",164,33,-,19,23,7,1,1,18,62,164,40.38,-,1186282,2,1,1
"경기도","2020",209,49,-,14,24,41,2,1,24,54,209,49.21,-,2066925,1,1,-
"경기도","2021",70,15,-,5,8,16,5,-,8,13,70,11.66,-,538985,3,1,2
"경기도","2022",143,16,-,6,20,14,3,-,7,77,143,66.05,-,3181736,1,-,1
"강원도","1995",49,18,-,12,-,-,4,1,-,14,49,86.98,1004,31799,1,1,-
"강원도","1996",32,12,-,3,-,-,-,2,-,15,32,3320.85,360732,8229222,-,-,-
"강원도","1997",59,18,0,13,10,4,2,1,-,11,59,892.64,26035,1109932,4,3,1
"강원도","1998",25,9,-,10,1,3,1,-,-,1,25,588.52,38782,1552873,1,1,-
"강원도","1999",65,19,-,13,7,4,3,4,-,15,65,92.72,975,117454,-,-,-
"강원도","2000",141,48,-,23,16,18,5,3,-,28,141,24119.87,1353463,61595450,19,3,16
"강원도","2001",57,30,-,4,3,1,5,-,-,14,57,95.22,3101,173090,-,-,-
"강원도","2002",35,10,-,4,1,5,3,3,-,9,35,41.78,725,92005,1,1,-
"강원도","2003",5,1,-,1,1,1,1,-,-,-,5,5.90,233,9874,-,-,-
"강원도","2004",27,15,-,2,3,1,1,-,-,5,27,638.39,31263,931306,-,-,-
"강원도","2005",22,13,-,2,-,-,-,1,-,6,-,1102.12,102610,5216384,-,-,-
"강원도","2006",17,11,-,1,3,-,1,-,-,1,-,4.51,5,630,-,-,-
"강원도","2007",19,12,0,2,-,2,-,-,-,3,19,6.32,683,6949,-,-,-
"강원도","2008",17,8,0,-,4,2,-,-,-,3,17,5.08,30,5901,1,1,-
"강원도","2009",44,22,0,1,5,3,2,1,-,10,44,57.04,1753,171261,0,0,0
"강원도","2010",37,15,-,2,9,3,1,-,3,4,37,91.47,2183,1860936,-,-,-
"강원도","2011",33,17,-,4,3,2,1,1,4,1,33,110.06,5142,3055221,-,-,-
"강원도","2012",30,15,-,-,2,1,1,-,4,7,30,4.48,173,244915,-,-,-
"강원도","2013",34,17,-,5,5,3,1,-,-,3,34,8.85,607,501237,-,-,-
"강원도","2014",48,23,-,10,5,2,-,-,1,7,48,10.07,451,478894,-,-,-
